t,l_0_0,l_0_1,l_0_2,l_1_0,l_1_1,l_1_2,l_dot_0_0,l_dot_0_1,l_dot_0_2,l_dot_1_0,l_dot_1_1,l_dot_1_2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,-5.857942243530191769e-05,8.406963794777989993e-05,8.682729499262313003e-05,-3.586231417281604154e-05,7.303681074391697140e-05,7.514676262831960054e-05,-1.110246130046099039e-02,1.716987639961116072e-02,1.780115332972211084e-02,-6.270531885907556710e-03,1.483284740980927476e-02,1.530789680335494125e-02
2.000000000000000042e-02,-2.089669000142097162e-04,3.632077240096099084e-04,3.776525902552923652e-04,-9.257113836310084851e-05,3.071495667425405349e-04,3.174198805129115975e-04,-1.871723458895840908e-02,4.017633161142903503e-02,4.199715304332563015e-02,-2.825702695283052734e-03,3.256763596991706089e-02,3.374269054544541679e-02
2.999999999999999889e-02,-4.401066342311364720e-04,9.205745915332158146e-04,9.627300426067642199e-04,-4.194906416478440123e-05,7.303875855132638348e-04,7.557950432520352778e-04,-2.843884376787669463e-02,7.275281306211726917e-02,7.665025852091841840e-02,1.547646756250559662e-02,5.193730647370303766e-02,5.375195152814186278e-02
4.000000000000000083e-02,-7.913954527412341185e-04,1.836596350151603911e-03,1.932802518481625213e-03,2.652153359355009484e-04,1.336543731917272815e-03,1.381727264726663462e-03,-4.154678816554666088e-02,1.104797667040252757e-01,1.175663803069203206e-01,4.805602615343447515e-02,6.858545468916320276e-02,7.063070266455372115e-02
5.000000000000000278e-02,-1.239991514450638089e-03,3.110239461347134859e-03,3.296321661647575764e-03,9.502440037747572447e-04,2.085254252101812877e-03,2.149407271950184474e-03,-4.572455822885401755e-02,1.423570061090399796e-01,1.532851873941963039e-01,8.972840396420288245e-02,8.021687874163417609e-02,8.185727948521287489e-02
5.999999999999999778e-02,-1.639408033153494891e-03,4.621366957321413997e-03,4.934347133230847747e-03,2.046319804134241836e-03,2.918775864321854728e-03,2.995178570189313549e-03,-3.059828631208946770e-02,1.556715285473170285e-01,1.698848068676272471e-01,1.270224220380116453e-01,8.517960304281485540e-02,8.596465056021514173e-02
7.000000000000000666e-02,-1.817204390279688339e-03,6.147524706339307921e-03,6.612133061269820020e-03,3.420652014940517727e-03,3.761042920699707477e-03,3.841687721248384681e-03,-4.524423275426354973e-03,1.463016418386074158e-01,1.621167379155892263e-01,1.439987471124091756e-01,8.190756765604086109e-02,8.205482920094754606e-02
8.000000000000000167e-02,-1.747290054203188463e-03,7.498969663093948967e-03,8.122969127457836669e-03,4.853692642947951552e-03,4.530988093816619953e-03,4.612634470304720520e-03,1.678505910629472797e-02,1.223415672585875663e-01,1.381645590900927867e-01,1.395505456698833968e-01,7.084550914308665459e-02,7.103747871615025133e-02
8.999999999999999667e-02,-1.517158140996240946e-03,8.574703443599729358e-03,9.351601024275308510e-03,6.167314154212801512e-03,5.158138538583978243e-03,5.245138075193799855e-03,2.757573490129368657e-02,9.240090313103692388e-02,1.069784687690928382e-01,1.217667321030891786e-01,5.386631997127078186e-02,5.484733644762278260e-02
1.000000000000000056e-01,-1.224999655787260703e-03,9.346586755543008843e-03,1.025885435881400409e-02,7.274558839443175974e-03,5.597388762485553879e-03,5.700363403845095343e-03,2.958385396389567878e-02,6.258855804982037252e-02,7.494003639686960816e-02,9.979124437719009977e-02,3.380564114763658090e-02,3.606471385813606739e-02
1.100000000000000006e-01,-9.382838543593590179e-04,9.843499078792592588e-03,1.086622554427713223e-02,8.173200255126713415e-03,5.839649941565798995e-03,5.971424229705381802e-03,2.769279890896909901e-02,3.769573990136475955e-02,4.745173087515597993e-02,8.059851997740678786e-02,1.524575950505734079e-02,1.867476595267423406e-02
1.199999999999999956e-01,-6.650946580133523280e-04,1.012016995831146668e-02,1.122884787427472740e-02,8.902871306787796257e-03,5.919054659662934502e-03,6.088453300995777528e-03,2.781852516401829914e-02,1.841507169652835396e-02,2.599441429132023917e-02,6.598710439611923939e-02,1.689982531141320625e-03,5.638675507543264472e-03
1.300000000000000044e-01,-3.671242257132426696e-04,1.022459282477778189e-02,1.140170883248363236e-02,9.500931775859719139e-03,5.892610967831887064e-03,6.100810340318962161e-03,3.230209424387742861e-02,3.026489313563314465e-03,9.261211581426672529e-03,5.382210834255535953e-02,-6.131647512994962967e-03,-2.424404782955007914e-03
1.400000000000000133e-01,-1.344449011958983312e-05,1.019018507133363435e-02,1.142566670612892195e-02,9.979456506997240461e-03,5.810552128834279260e-03,6.052597347793398086e-03,3.841567619575566445e-02,-9.451877362591967757e-03,-3.936099386660980338e-03,4.177871968000143599e-02,-9.717795188742269635e-03,-6.698121869213853261e-03
1.499999999999999944e-01,3.907891999844557551e-04,1.004649450438554852e-02,1.133447543327093139e-02,1.033405687026193662e-02,5.705627832004444080e-03,5.974139065953135153e-03,4.160720570796661716e-02,-1.868609293214204894e-02,-1.370235643720847836e-02,2.900931570297034592e-02,-1.101845145997763092e-02,-8.723382423566223773e-03
1.600000000000000033e-01,7.986775855833782526e-04,9.828920165622149346e-03,1.116370001506026763e-02,1.055783649979703288e-02,5.593050364917542816e-03,5.881821584735241748e-03,3.888478365402747022e-02,-2.420650600188813811e-02,-1.985996217020938662e-02,1.571522120042719364e-02,-1.143817394735480511e-02,-9.625814267097309446e-03
1.700000000000000122e-01,1.145643121417155418e-03,9.574780759510145497e-03,1.094892449592131146e-02,1.064877463807047814e-02,5.476757369566211467e-03,5.782789138181458448e-03,2.934930957557108783e-02,-2.602125775516041586e-02,-2.254215044731396056e-02,2.543864676866144578e-03,-1.188994231088629817e-02,-1.017714356674932936e-02
1.799999999999999933e-01,1.367723861600327485e-03,9.318411547379270785e-03,1.072213636748021656e-02,1.061120937232253036e-02,5.354083285767812124e-03,5.678399445717755879e-03,1.449062846367469778e-02,-2.488211498846455358e-02,-2.245672329507179474e-02,-9.885931883956845800e-03,-1.267611785649503178e-02,-1.067994284157828926e-02
1.900000000000000022e-01,1.427598493263272216e-03,9.082812644135688368e-03,1.050537689027599905e-02,1.045505999091787992e-02,5.222521312385475060e-03,5.569414738771829264e-03,-2.618782112967331724e-03,-2.206582232567279311e-02,-2.072174036979353151e-02,-2.113382377743686091e-02,-1.363751176579583099e-02,-1.107962088456812544e-02
2.000000000000000111e-01,1.321530697702790738e-03,8.877554615535718924e-03,1.030901468830468064e-02,1.019330399563750204e-02,5.082827111687202720e-03,5.458544990891259739e-03,-1.796130350585261118e-02,-1.908465096451195109e-02,-1.857122796151340974e-02,-3.095633721865555590e-02,-1.416941690444205836e-02,-1.097213335894937219e-02
2.099999999999999922e-01,1.085519891534902828e-03,8.697377634619692793e-03,1.013213688311508098e-02,9.841333383141996280e-03,4.942460461348831616e-03,5.352836900594365281e-03,-2.805025470589155717e-02,-1.726480402213984716e-02,-1.697797228816649504e-02,-3.913782088438558932e-02,-1.367916487138810637e-02,-9.992745010179028553e-03
2.200000000000000011e-01,7.852383412533871536e-04,8.525535652652524790e-03,9.966111203479011138e-03,9.417037189055158311e-03,4.813930191373435447e-03,5.262128976334746154e-03,-3.072406974320267270e-02,-1.746691409120851302e-02,-1.639385188231714044e-02,-4.536085641332950752e-02,-1.179529070098671133e-02,-7.990755295255839302e-03
2.300000000000000100e-01,4.973097997473921493e-04,8.340528577888415770e-03,9.801469073409750654e-03,8.942137927073759082e-03,4.711436567728545868e-03,5.196059171101313941e-03,-2.557720331651134119e-02,-1.988853142549307576e-02,-1.660894832516648240e-02,-4.916843055046037081e-02,-8.443590756532025343e-03,-5.077607127537206097e-03
2.399999999999999911e-01,2.945731711825542022e-04,8.122515724879790164e-03,9.633781552419026437e-03,8.442986476759275702e-03,4.649222451767281300e-03,5.162606385348448602e-03,-1.407949042594286958e-02,-2.393777301156163953e-02,-1.682638033304633199e-02,-5.010900275876471743e-02,-3.827917542820132718e-03,-1.561277544957208070e-03
2.500000000000000000e-01,2.266986118741875242e-04,7.861656592618641512e-03,9.470545497969886165e-03,7.951444453143202001e-03,4.638825499167536365e-03,5.166098363077292234e-03,6.131540533757112721e-04,-2.808845615210153746e-02,-1.554323267038935225e-02,-4.765970780015637426e-02,1.794856806549321310e-03,2.218910752032168462e-03
2.600000000000000089e-01,3.014221225443795664e-04,7.566630837372174609e-03,9.330111286477801857e-03,7.500917015204312810e-03,4.684249498534236167e-03,5.204753013698983251e-03,1.361046280856887704e-02,-3.040043650267278824e-02,-1.214708035052402060e-02,-4.195623821835680473e-02,7.167627129614521572e-03,5.355159243516711964e-03
2.700000000000000178e-01,4.776699875295188896e-04,7.263323484560794616e-03,9.229763730956101406e-03,7.119005080355552371e-03,4.773457355011764824e-03,5.266088563469118952e-03,2.055899063396507409e-02,-2.990466287301192863e-02,-8.077885997618858976e-03,-3.428807533009681913e-02,1.009016473662494896e-02,6.480621859342601196e-03
2.800000000000000266e-01,6.947423385089225361e-04,6.973392942679736486e-03,9.163010504577181331e-03,6.815564328217518786e-03,4.874926507765967205e-03,5.326465887482494457e-03,2.226893603760171994e-02,-2.794909738555128795e-02,-5.575163321873413506e-03,-2.644677754989963395e-02,9.780049744194024841e-03,5.302199175980196189e-03
2.899999999999999800e-01,9.171332177507201134e-04,6.704252160411484397e-03,9.112272694949912974e-03,6.587932913966439326e-03,4.963026264755184512e-03,5.368124882097823763e-03,2.202695254910140218e-02,-2.583987894556833559e-02,-4.744429554177255828e-03,-1.916835121908140593e-02,7.697170604682343834e-03,2.940210739098221386e-03
2.999999999999999889e-01,1.133071938279612677e-03,6.458765372348275469e-03,9.068042526754050217e-03,6.431233769210506664e-03,5.029291320158851657e-03,5.385659407850734194e-03,2.109771537190361854e-02,-2.307387460230010678e-02,-3.949029381777782732e-03,-1.217785094813867396e-02,5.721840085193770180e-03,6.822589824336811049e-04
3.099999999999999978e-01,1.338494908674451407e-03,6.247135882909544968e-03,9.037187781420567487e-03,6.344423257846239228e-03,5.081936938139837087e-03,5.384975839216432636e-03,2.001888514743798211e-02,-1.899341675160182846e-02,-1.964638561556625307e-03,-5.160935774747986426e-03,5.115375373794858911e-03,-5.982932077119346333e-04
3.200000000000000067e-01,1.536056593004065610e-03,6.083667933166602218e-03,9.033844838180560624e-03,6.328469840109457456e-03,5.138556622798385633e-03,5.378817663471376076e-03,1.973979381814729497e-02,-1.352726878496264551e-02,1.504728754551036551e-03,1.965828406030980732e-03,6.566479254208707969e-03,-3.580853965311207214e-04
3.300000000000000155e-01,1.740516396272170137e-03,5.977784171814690822e-03,9.069215064249016092e-03,6.382352638993350410e-03,5.219636932797898539e-03,5.383115339053022586e-03,2.160624773423654860e-02,-7.763687417276191917e-03,5.499156866416988337e-03,8.619697673914607228e-03,9.877457061024918702e-03,1.441291166896216608e-03
3.400000000000000244e-01,1.976778614702483141e-03,5.923268407176315864e-03,9.139855552521385096e-03,6.494799880622106371e-03,5.338244525062861914e-03,5.410803327740856643e-03,2.593199976628224324e-02,-3.485852742412216126e-03,8.346749831445138962e-03,1.346002799548738291e-02,1.381926263127791071e-02,4.172674205970049524e-03
3.500000000000000333e-01,2.259823440261737437e-03,5.899928203945273460e-03,9.228960075707580424e-03,6.640830329838815459e-03,5.492358893985499479e-03,5.465953367739225313e-03,3.046045214657368272e-02,-1.565094175853931624e-03,9.132841566775302955e-03,1.516641178780451377e-02,1.672932725067801524e-02,6.755423903601511307e-03
3.599999999999999867e-01,2.578187709757986772e-03,5.886435787391408776e-03,9.317665073203732287e-03,6.787695794255375718e-03,5.667294391600234682e-03,5.543481411158517232e-03,3.271761431434326572e-02,-1.306729795055280906e-03,8.464433891411996674e-03,1.376820770044382379e-02,1.800207292365449060e-02,8.625296840218808769e-03
3.699999999999999956e-01,2.903095534054346821e-03,5.871847778123545115e-03,9.396676088032922605e-03,6.908924577987733510e-03,5.847629277269267463e-03,5.635820468522356914e-03,3.169502679432831260e-02,-1.644029634168546212e-03,7.312849874479372334e-03,1.018752586595183737e-02,1.785479195996486287e-02,9.713990451201231363e-03
3.800000000000000044e-01,3.202674607041383278e-03,5.853758839008700761e-03,9.464456446375902818e-03,6.987931475553263612e-03,6.021281402049672923e-03,5.735717630082022567e-03,2.783390647275646099e-02,-1.939679521406560865e-03,6.296998482582118195e-03,5.520685357293109163e-03,1.675719957149487266e-02,1.017971345027009200e-02
3.900000000000000133e-01,3.453615034331742033e-03,5.834003571120728766e-03,9.523931127128739196e-03,7.018821444543065294e-03,6.180963919098781713e-03,5.837899535273098107e-03,2.217052589275954333e-02,-1.940670675963830291e-03,5.699135283156337925e-03,7.367775807509441711e-04,1.513970496616518294e-02,1.020906143108122818e-02
4.000000000000000222e-01,3.643638462087700827e-03,5.816086251963690189e-03,9.580184951808812591e-03,7.004790628340661941e-03,6.323407107905909541e-03,5.938962976220575618e-03,1.576854922762695177e-02,-1.580595316495782233e-03,5.645264413453238324e-03,-3.391375901102592141e-03,1.333147920837620889e-02,9.964137893373647276e-03
4.100000000000000311e-01,3.768871886034681849e-03,5.803575101070156637e-03,9.638740731728967157e-03,6.954886076055397624e-03,6.447481781502465738e-03,6.036472101362312832e-03,9.326732123775140215e-03,-8.701945913248819876e-04,6.158344194991269283e-03,-6.357415331799947701e-03,1.148447588599708045e-02,9.502263681728153472e-03
4.199999999999999845e-01,3.831411568008602671e-03,5.799214775968185992e-03,9.704384195691291223e-03,6.881895676859474571e-03,6.552748992828765981e-03,6.127995685934874669e-03,3.267720942571003886e-03,-2.473287102595402021e-06,6.983373495946698824e-03,-8.032252936437682747e-03,9.532076577293066219e-03,8.733984700515742827e-03
4.299999999999999933e-01,3.836642090560514733e-03,5.803025689099107487e-03,9.778052149967316961e-03,6.798148696489205237e-03,6.637297182106400607e-03,6.209701582585655695e-03,-2.065505607937688504e-03,7.132849560246511643e-04,7.699234599814113421e-03,-8.541548642966500723e-03,7.332969563693691496e-03,7.532796274194776716e-03
4.400000000000000022e-01,3.793708600155993281e-03,5.811770204709359663e-03,9.856400712757026547e-03,6.713891367077295252e-03,6.698225937300014872e-03,6.276971916987171204e-03,-6.302334802906535242e-03,9.181695965243433059e-04,7.830504765848072743e-03,-8.195721411228719042e-03,4.787306511349885899e-03,5.834699844413340081e-03
4.500000000000000111e-01,3.715174179706830920e-03,5.818983958720038915e-03,9.931826826411705930e-03,6.636058523296217357e-03,6.732012429805747308e-03,6.324944063080661233e-03,-9.166886681571553494e-03,4.016202771122774542e-04,7.109627682830825177e-03,-7.297714378505697555e-03,1.928043674960472006e-03,3.697783966803448556e-03
4.600000000000000200e-01,3.615224472449587480e-03,5.817367246873680724e-03,9.995743539934551572e-03,6.569012944505823320e-03,6.736221277020598003e-03,6.349968655569125132e-03,-1.059079751942779840e-02,-8.239063469512403160e-04,5.564553362699176109e-03,-6.067448008269625027e-03,-1.084851603675343178e-03,1.285138501173846686e-03
4.700000000000000289e-01,3.507656763731787936e-03,5.800865382289917271e-03,1.004135491148534787e-02,6.515404811174705345e-03,6.710648651978137758e-03,6.350497257322325860e-03,-1.071920793791314094e-02,-2.542022633864059016e-03,3.485333774488774076e-03,-4.621923951865208186e-03,-4.001257117600583169e-03,-1.175206646483003669e-03
4.799999999999999822e-01,3.404338499234925344e-03,5.766040200034626938e-03,1.006523412003662230e-02,6.477294283408974000e-03,6.657568949919897942e-03,6.327171092967585377e-03,-9.793536284385361002e-03,-4.410022788803396286e-03,1.336744787917243556e-03,-2.959877330762371132e-03,-6.507973489845689415e-03,-3.425849671674255185e-03
4.899999999999999911e-01,3.314578010486696896e-03,5.713149628298738389e-03,1.006919066422908883e-02,6.456934964198831998e-03,6.582743448005976342e-03,6.283398186488865951e-03,-8.025733457543997654e-03,-6.117455948641901953e-03,-4.468760096144053229e-04,-1.068420878259083995e-03,-8.311311794352176097e-03,-5.234224379180009434e-03
5.000000000000000000e-01,3.246359600588228332e-03,5.644841131172700574e-03,1.005846980164261557e-02,6.456548406858098749e-03,6.494504088772980188e-03,6.224597729250583647e-03,-5.488388532423123245e-03,-7.493167185271229144e-03,-1.598663305991520917e-03,1.005034526767731133e-03,-9.177729330359332693e-03,-6.418012048676642427e-03
5.100000000000000089e-01,3.207290877342624125e-03,5.564394029982141186e-03,1.003933283269503075e-02,6.477007891136503902e-03,6.402583749734801905e-03,6.157397817013681753e-03,-2.225113771506284990e-03,-8.533881924417374351e-03,-2.116928485473086770e-03,3.058983420916720243e-03,-9.030433278487551632e-03,-6.894777044592638113e-03
5.200000000000000178e-01,3.203660034556924264e-03,5.474966577027248413e-03,1.001743935243812854e-02,6.516607539523307756e-03,6.316773861547524647e-03,6.088852387848149063e-03,1.580910527503854007e-03,-9.334756860249416449e-03,-2.232211337844729193e-03,4.756560821109694949e-03,-8.002847505122119912e-03,-6.711730672858687990e-03
5.300000000000000266e-01,3.239319403461073631e-03,5.378465641277931607e-03,9.995380455789470292e-03,6.569972769982980465e-03,6.244695239711450102e-03,6.025003207686121035e-03,5.530160436963745679e-03,-9.927635417490154185e-03,-2.157280217189521277e-03,5.792906407140954207e-03,-6.329409376710220560e-03,-5.980278695085629141e-03
5.400000000000000355e-01,3.313062495512030577e-03,5.277139643653546396e-03,9.974417171159797452e-03,6.629597212951423950e-03,6.191370188126618310e-03,5.970540556582642697e-03,9.081555471054499062e-03,-1.026580836567114047e-02,-2.005681329043035050e-03,6.001877531264008560e-03,-4.295709411648533822e-03,-4.858725445219607211e-03
5.500000000000000444e-01,3.417967131733167831e-03,5.174224181625182613e-03,9.955494776498929888e-03,6.687324128245762667e-03,6.159057585944790851e-03,5.928529708941334547e-03,1.171945282320965495e-02,-1.025563932891338306e-02,-1.769616487602690760e-03,5.405275475625440258e-03,-2.167380290638739205e-03,-3.515034125377896647e-03
5.600000000000000533e-01,3.543486294410827086e-03,5.073592021970559085e-03,9.939800915656372277e-03,6.735812265008987720e-03,6.147897248906427844e-03,5.900624489510371620e-03,1.318099872281015134e-02,-9.788504743179859621e-03,-1.318363739782860318e-03,4.226398470138179389e-03,-7.905828368776762760e-05,-2.055851970503221656e-03
5.700000000000000622e-01,3.677439802745743370e-03,4.979996244107880166e-03,9.930011469915039912e-03,6.770681222915927652e-03,6.156918174209998797e-03,5.887424462693800417e-03,1.339556238126021412e-02,-8.842600830549593449e-03,-5.702227929204186719e-04,2.732390866183299471e-03,1.850756542392081394e-03,-5.924685905488173872e-04
5.799999999999999600e-01,3.807715553760466012e-03,4.898091093162935082e-03,9.929386095984650898e-03,6.790293859145834533e-03,6.184076808431806030e-03,5.888450628455447339e-03,1.247179835950628507e-02,-7.472484919612746787e-03,4.933330808002665303e-04,1.193946722518761817e-03,3.528931820679739786e-03,7.730093100148304960e-04
5.899999999999999689e-01,3.923770056459271321e-03,4.831585670040459968e-03,9.940759739751055951e-03,6.795169963372958873e-03,6.226371752743486976e-03,5.902234692478506087e-03,1.062320926089108976e-02,-5.794680098861783313e-03,1.817464856479556086e-03,-1.631488496333919659e-04,4.869961584433194456e-03,1.943611286295394980e-03
5.999999999999999778e-01,4.018148548568936836e-03,4.782559555486093350e-03,9.966040662093460581e-03,6.788040843263325012e-03,6.280063841182445539e-03,5.926376286234272088e-03,8.167396133077349865e-03,-4.007311148377259644e-03,3.242074071938841773e-03,-1.199962993123569006e-03,5.786189980476417680e-03,2.826472830429015929e-03
6.099999999999999867e-01,4.086428476959642377e-03,4.751062312629343760e-03,1.000529650187017769e-02,6.772538830028953377e-03,6.340528037483216840e-03,5.957604456591615236e-03,5.466527442837598727e-03,-2.323995165070106596e-03,4.578712022257421140e-03,-1.836187364357068147e-03,6.221615044300896069e-03,3.355999874247837453e-03
6.199999999999999956e-01,4.127795109821376027e-03,4.735062914680434644e-03,1.005667405157698209e-02,6.752683483122326642e-03,6.402796935447901093e-03,5.992192247925156451e-03,2.887670683529723441e-03,-9.502496677837269853e-04,5.632713422873159362e-03,-2.058619453019235653e-03,6.158823577454444406e-03,3.501281795988816711e-03
6.300000000000000044e-01,4.145525827316016640e-03,4.730505971063525897e-03,1.011644144227363297e-02,6.732459154747976252e-03,6.462127820572308688e-03,6.026392311223454333e-03,7.522866078421635520e-04,-5.914999378871623522e-05,6.222875900418024103e-03,-1.931809784316710797e-03,5.619810300121447916e-03,3.269227240015583347e-03
6.400000000000000133e-01,4.145126773964499974e-03,4.732027598066065183e-03,1.017935798654785555e-02,6.714963875587171352e-03,6.513954421684428446e-03,6.056549076167826000e-03,-7.208725971298238916e-04,2.688485962806621329e-04,6.266668798463383497e-03,-1.529590867242221121e-03,4.682087686301326240e-03,2.710013817828965839e-03
6.500000000000000222e-01,4.133655475796325918e-03,4.733944887420522829e-03,1.023986439127222772e-02,6.702466431656670283e-03,6.554733117032065549e-03,6.079711861584637632e-03,-1.424220952017522020e-03,2.929273645338741246e-05,5.757248974693603139e-03,-9.472909440380232558e-04,3.456477567679570352e-03,1.902931574388769904e-03
6.600000000000000311e-01,4.118990992703596733e-03,4.730971529219976483e-03,1.029287636315138685e-02,6.696222446392304135e-03,6.582484975140974470e-03,6.094062875018038845e-03,-1.379904386244648617e-03,-7.013682659463829280e-04,4.769608765835173757e-03,-2.944974056796196269e-04,2.078796602775948889e-03,9.502152956090198152e-04
6.700000000000000400e-01,4.108224990808896464e-03,4.718774638645115323e-03,1.033422824330362290e-02,6.696568402250674575e-03,6.596365696806128290e-03,6.098649210711961158e-03,-6.712468390596129306e-04,-1.788180393599234043e-03,3.455644814663867085e-03,3.596052322602874291e-04,7.062141580035583011e-04,-3.169454741963249021e-05
6.800000000000000488e-01,4.107367228617020936e-03,4.694489624235805882e-03,1.036141263859509561e-02,6.703214256375735619e-03,6.597067178415826245e-03,6.093666019093686888e-03,5.693453874207978806e-04,-3.080691955377516233e-03,1.982858054842266248e-03,9.514463293438038538e-04,-5.188209883242008227e-04,-9.347405542891519970e-04
6.900000000000000577e-01,4.120783659641335736e-03,4.656950918241942530e-03,1.037384293305627925e-02,6.715213453033028884e-03,6.586780120737292972e-03,6.080460278078745132e-03,2.170018319394393866e-03,-4.431287086961497798e-03,5.082482272272313781e-04,1.423911508793007869e-03,-1.489550071790600666e-03,-1.674322536215245173e-03
7.000000000000000666e-01,4.151345373930210442e-03,4.606130859069683392e-03,1.037205261465206328e-02,6.731121428920590517e-03,6.568394225549086321e-03,6.060951953902717418e-03,3.961120172800016749e-03,-5.715828060990704729e-03,-8.413001614350035066e-04,1.726255181062095112e-03,-2.133395882962375693e-03,-2.189452515271902988e-03
7.099999999999999645e-01,4.200083724005101819e-03,4.543155077178568334e-03,1.035768914754095667e-02,6.749032212692011000e-03,6.545266981586864846e-03,6.037495168551398894e-03,5.758012833626679691e-03,-6.833090848344571672e-03,-1.976177224295191329e-03,1.816750239237618436e-03,-2.427600257174564440e-03,-2.453941028125935023e-03
7.199999999999999734e-01,4.265945746469795852e-03,4.470231143409602627e-03,1.033335150811967758e-02,6.766720255636792490e-03,6.520854978784676979e-03,6.012625077207945506e-03,7.374400968167741863e-03,-7.708918279177140107e-03,-2.847220935247552279e-03,1.672717575045211966e-03,-2.400659816168332437e-03,-2.478949852917706337e-03
7.299999999999999822e-01,4.346363899999453224e-03,4.390027907809384428e-03,1.030180119843594581e-02,6.781781179958802815e-03,6.498161656202127053e-03,5.988621070872598984e-03,8.648606963415426951e-03,-8.282691087073981717e-03,-3.415254017975309121e-03,1.301436260658110546e-03,-2.096274668783693323e-03,-2.289231262055651129e-03
